CML firm ID,Trading name (for display),EXCLUDE FROM SEARCH RESULTS,Regulatory history score,Stars,Regulatory history,Decision count text,Outcome type - outcome one,Outcome type - outcome two,Outcome type - outcome three,SRA link 
CML-001,Talbots Law,,100,5,No published regulatory history,,,,,
CML-002,Poole Alcock,,100,5,No published regulatory history,,,,,
CML-003,Knights ,,100,5,No published regulatory history,,,,,
CML-004,Davisons Law,,100,5,No published regulatory history,,,,,
CML-005,Irwin Mitchell ,,100,5,No published regulatory history,,,,,
CML-006,Shakespeare Martineau ,,100,5,No published regulatory history,,,,,
CML-007,HCB Solicitors ,,100,5,No published regulatory history,,,,,
CML-008,Star Legal Solicitors,,100,5,No published regulatory history,,,,,
CML-009,HCR Law,,100,5,No published regulatory history,,,,,
CML-010,Hine Solicitors ,,100,5,No published regulatory history,,,,,
CML-011,David J Foster & Co ,,100,5,No published regulatory history,,,,,
CML-012,FBC Manby Bowdler ,,100,5,No published regulatory history,,,,,
CML-013,Hill Dickinson,,100,5,No published regulatory history,,,,,
CML-014,Spencer West,,100,5,No published regulatory history,,,,,
CML-015,Weightmans ,,100,5,No published regulatory history,,,,,
CML-016,Gordon & Thompson Solicitors,,100,5,No published regulatory history,,,,,
CML-017,NBB Waldrons Solicitors,,100,5,No published regulatory history,,,,,
CML-018,Glover Priest Solicitors ,,100,5,No published regulatory history,,,,,
CML-019,Gunnercooke,,100,5,No published regulatory history,,,,,
CML-020,MFG Solicitors,,100,5,No published regulatory history,,,,,
CML-021,Alsters Kelley Solicitors ,,100,5,No published regulatory history,,,,,
CML-022,Clarke Willmott,,100,5,No published regulatory history,,,,,